url;rating;number_of_reviews;longitude;latitude;menu_item;price
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"250g Vepřový kotlet " Švejk" plněný nivou s červeným zelím a bramboráčky";"295 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Bramborákový špalek s ďábelskou omáčkou a listy zelených salátů s rajčaty";"288 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"600g Grilovaná vepřová žebra s barbecue marinádou servírovaná s jablečným křenem, okurkou, cibulkami, beraními rohy a čerstvým chlebem";"275 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Kuřecí steak na čerstvých bylinách s listovým salátem, cherry rajčaty a sezamovým semínkem";"238 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Bramboráčky s kuřecím masem zapečené nivou";"215 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Masová směs "Chilli" s paprikou, zakysanou smetanou a bramboráčky";"248 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Smažené vepřové nebo kuřecí řízečky s měsíčkem citrónu";"295 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"120g Smažený hermelín s kuřecím masem";"168 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"250g Linguini s kuřecím masem a brokolicí v sýrové omáčce";"195 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"250g Linguini s rajčatovým pestem a kousky vepřové panenky a cherry rajčaty, parmezán";"218 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"300g Linguini s pestem ze sušených rajčat a hoblinkami parmezánu";"168 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"250g Smetanovétortelilny plněné špenátem s čerstvými žampiony a nivou, ochucené bazalkou a oregánem";"178 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"300g Gratinované brambory na cibulce s brokolicí, zjemněné smetanou a zeleným salátem s cherry rajčat";"168 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Grilovaný sýr s grilovanou zeleninou a pečenými brambory s bylinkovým dresinkem";"208 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"130g Smažený sýr";"145 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"120g Smažený hermelín";"155 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Vařené brambory";"40 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Opečené brambory se slupkou";"45 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Šťouchané brambory se slaninou a pórkem";"63 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"200g Restované brambory s cibulí a klobásou";"68 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"3ks Bramboráčky 180g";"58 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Hranolky";"48 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Krokety";"53 Kč"
https://www.firmy.cz/detail/13703777-hospudka-u-mlejna-hradec-kralove-malsovice.html;4;52;15.854821;50.206885;"150g Bramborákové krokety";"58 Kč"
