name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
DOUDLEBSKÁ HOSPODA;Jihočeský;https://www.firmy.cz/detail/13010706-doudlebska-hospoda-doudleby-stranany.html;4.7;7;48.891820;14.502656;None;None
Hospoda Myslivna;Jihočeský;https://www.firmy.cz/detail/13367259-hospoda-myslivna-strakonice-drazejov.html;4.6;6;49.262899;13.863180;None;None
Hospoda U Čiláka;Jihočeský;https://www.firmy.cz/detail/13120716-hospoda-u-cilaka-buzice.html;4.7;8;49.423097;13.930880;None;None
Olešnická hospoda;Jihočeský;https://www.firmy.cz/detail/13324448-olesnicka-hospoda-olesnik.html;3;10;49.107087;14.363947;None;None
Hostinec U Karasů;Jihočeský;https://www.firmy.cz/detail/13110826-hostinec-u-karasu-rakovice.html;5;1;49.471596;14.052031;None;None
Hostinec U Nezmara;Jihočeský;https://www.firmy.cz/detail/2198104-hostinec-u-nezmara-ceske-budejovice-2.html;5;3;48.979774;14.456640;None;None
Hostinec u Jitky;Jihočeský;https://www.firmy.cz/detail/2137788-hostinec-u-jitky-rosec.html;4.5;30;49.127464;14.913889;None;None
Hospoda ve struhách;Jihočeský;https://www.firmy.cz/detail/13491878-hospoda-ve-struhach-mlyny.html;5;4;49.337051;14.880001;None;None
Pohostinství Dřešín;Jihočeský;https://www.firmy.cz/detail/13114438-pohostinstvi-dresin-dresin.html;5;5;49.160885;13.775661;None;None
Hospůdka u bazénku;Jihočeský;https://www.firmy.cz/detail/13905598-hospudka-u-bazenku-tabor.html;None;None;49.390757;14.680588;None;None
Mydlovarská Hospoda;Jihočeský;https://www.firmy.cz/detail/13586408-mydlovarska-hospoda-mydlovary.html;5;3;49.092239;14.354624;None;None
U Sedloňů;Jihočeský;https://www.firmy.cz/detail/261552-u-sedlonu-ratiborske-hory.html;5;1;49.462170;14.770106;None;None
Hospoda U Čiláka;Jihočeský;https://www.firmy.cz/detail/13120716-hospoda-u-cilaka-buzice.html;4.7;8;49.423097;13.930880;None;None
Olešnická hospoda;Jihočeský;https://www.firmy.cz/detail/13324448-olesnicka-hospoda-olesnik.html;3;10;49.107087;14.363947;None;None
Hospůdka U Řezníka;Jihočeský;https://www.firmy.cz/detail/13079934-hospudka-u-reznika-chlum-u-trebone.html;3.6;2;48.961466;14.925876;None;None
Obecní hospoda;Jihočeský;https://www.firmy.cz/detail/13675583-obecni-hospoda-cicenice.html;5;1;49.155142;14.230809;None;None
Bošovická hospudka;Jihočeský;https://www.firmy.cz/detail/13343316-bosovicka-hospudka-cizova-bosovice.html;4.4;15;49.350158;14.077089;None;None
Hospoda U Němečků;Jihočeský;https://www.firmy.cz/detail/2596790-hospoda-u-nemecku-stozec-dobra.html;4.6;45;48.894100;13.824167;None;None
Pohostinství U kaštanu;Jihočeský;https://www.firmy.cz/detail/13124185-pohostinstvi-u-kastanu-dobronice-u-bechyne.html;4.9;8;49.342669;14.497559;None;None
Miluše Petrová;Jihočeský;https://www.firmy.cz/detail/13114554-miluse-petrova-radosovice.html;None;None;49.233472;13.898353;None;None
Hostinec Lipenka;Jihočeský;https://www.firmy.cz/detail/2469930-hostinec-lipenka-lipi.html;4.2;6;48.948348;14.352392;None;None
Hospoda U Pasáků;Jihočeský;https://www.firmy.cz/detail/13109675-hospoda-u-pasaku-drazov-zalesi.html;3.6;3;49.164526;13.727809;None;None
Hospoda U Datla;Jihočeský;https://www.firmy.cz/detail/13275814-hospoda-u-datla-blatna.html;4.3;20;49.430535;13.875116;None;None
Antonín Hruška;Jihočeský;https://www.firmy.cz/detail/13108699-antonin-hruska-bernartice-svatkovice.html;3.8;3;49.342819;14.367788;None;None
Zubčická lavina;Jihočeský;https://www.firmy.cz/detail/13119057-zubcicka-lavina-zubcice.html;4.5;2;48.796333;14.405905;None;None
Hospůdka Na Návsi, s.r.o.;Jihočeský;https://www.firmy.cz/detail/13134116-hospudka-na-navsi-sobenov.html;None;None;48.762731;14.546045;None;None
Hospůdka Předmíř;Jihočeský;https://www.firmy.cz/detail/13120080-hospudka-predmir-predmir.html;5;1;49.489399;13.770369;None;None
Hostinec a penzion U Rezků;Jihočeský;https://www.firmy.cz/detail/2612342-hostinec-a-penzion-u-rezku-jistebnice.html;4.4;13;49.486282;14.527655;None;None
Vladimír Lešák;Jihočeský;https://www.firmy.cz/detail/13144723-vladimir-lesak-vacov.html;4;1;49.137969;13.724824;None;None
Obecní hospoda;Jihočeský;https://www.firmy.cz/detail/13675583-obecni-hospoda-cicenice.html;5;1;49.155142;14.230809;None;None
Bošovická hospudka;Jihočeský;https://www.firmy.cz/detail/13343316-bosovicka-hospudka-cizova-bosovice.html;4.4;15;49.350158;14.077089;None;None
Hospoda Lodhéřov;Jihočeský;https://www.firmy.cz/detail/13165207-hospoda-lodherov-lodherov.html;5;3;49.212456;14.963119;None;None
Na Skalce;Jihočeský;https://www.firmy.cz/detail/13117839-na-skalce-drhovle-pametice.html;5;3;49.342026;14.031482;None;None
