url;rating;number_of_reviews;latitude;longitude;menu_item;price
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"250g Pečené kuřecí stehno po italsku "ROMA" (sušené rajčata + česnek) s jasmínovou rýží;157 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"150g Rajská omáčka s hovězím masem a těstovinami (kolínka);169 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"120g Tortilla s masovou směsí a zeleninou, strouhaný sýr;165 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"150g Smažený vepřový řízek s vařenýn bramborem, okurkou a citronem;169 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"150g Vepřová plec po selsku s červeným zelím a bramborovým knedlíkem;159 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"1ks Medovník se šlehačkou;65 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"1ks Pistáciový Cheesecake;99 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"1ks Banán v čokoládě se šlehačkou;59 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"0, 33l Polévka dle denní nabídky;65 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"150g Tatarský biftek z hovězí roštěné, topinky;249 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"1ks Nakládaný hermelín, vlastní výroba, chléb;109 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"100g Škvarková pomazánka, vlastní výroba, chléb;95 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"80g Carpaccio, bazalkové pesto, rukola, bagetka, parmazán, olivový olej;175 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"150g Tlačenka od řezníka Heřmana, cibule, chléb;95 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"1ks Klobása na grilu, čerstvý struhaný křen, hořčice, chléb;115 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"120g Grilovaný hermelín, brusinky, toustový chléb;139 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"200g Kuřecí prsní steak s anglickou slaninou, chléb;219 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"250g Vepřový steak z krkovice, grilovaná paprika, chléb;239 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"350g Vepřová kotleta se sázeným vejcem, chléb;255 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"200g Vepřové medajlonky z panenky s restovanou cibulkou, chléb;249 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"250g Jihoamerický hovězí steak z vysoké roštěné (Rib Eye) , chléb;329 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"250g Hovězí Rumpsteak, chléb;309 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"200g Katův šleh s chilli papričkami, chléb;199 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"500g Pečená vepřová žebra, zelný salát, barbecue omáčka, česnekový dip, strouhaný křen, chléb;219 Kč"
https://www.firmy.cz/detail/2220349-restaurace-u-blekotu-praha-kobylisy.html;None;None;14.456530;50.130522;"150g Smažený kuřecí/vepřový řízek, citron;185 Kč"
